suhu udara,kelembaban udara,suhu tanah,kelembaban tanah,cahaya,arus solar,arus aki,tegangan solar,tegangan aki,status
0,1,0,0,0,0,0,0,0,mendung kering
0,1,0,0,0,1,0,0,0,mendung kering
0,1,0,0,1,0,0,0,0,mendung kering
0,1,0,0,1,1,0,0,0,mendung kering
0,1,0,1,0,0,0,0,0,mendung kering
0,1,0,1,0,0,1,2,2,mendung siram
0,1,0,1,0,0,2,2,2,mendung siram
0,1,0,1,0,1,0,0,0,mendung kering
0,1,0,1,0,1,1,2,2,mendung siram
0,1,0,1,0,1,2,2,2,mendung siram
0,1,0,1,1,0,0,0,0,mendung kering
0,1,0,1,1,0,1,2,2,mendung siram
0,1,0,1,1,0,2,2,2,mendung siram
0,1,0,1,1,1,0,0,0,mendung kering
0,1,0,1,1,1,1,2,2,mendung siram
0,1,0,1,1,1,2,2,2,mendung siram
0,1,1,0,0,0,0,0,0,mendung kering
0,1,1,0,0,1,0,0,0,mendung kering
0,1,1,0,1,0,0,0,0,mendung kering
0,1,1,0,1,1,0,0,0,mendung kering
0,1,1,1,0,0,0,0,0,mendung kering
0,1,1,1,0,0,1,2,2,mendung siram
0,1,1,1,0,0,2,2,2,mendung siram
0,1,1,1,0,1,0,0,0,mendung kering
0,1,1,1,0,1,1,2,2,mendung siram
0,1,1,1,0,1,2,2,2,mendung siram
0,1,1,1,1,0,0,0,0,mendung kering
0,1,1,1,1,0,1,2,2,mendung siram
0,1,1,1,1,0,2,2,2,mendung siram
0,1,1,1,1,1,0,0,0,mendung kering
0,1,1,1,1,1,1,2,2,mendung siram
0,1,1,1,1,1,2,2,2,mendung siram
0,1,2,0,0,0,0,0,0,mendung kering
0,1,2,0,0,1,0,0,0,mendung kering
0,1,2,0,1,0,0,0,0,mendung kering
0,1,2,0,1,1,0,0,0,mendung kering
0,1,2,1,0,0,0,0,0,mendung kering
0,1,2,1,0,0,1,2,2,mendung siram
0,1,2,1,0,0,2,2,2,mendung siram
0,1,2,1,0,1,0,0,0,mendung kering
0,1,2,1,0,1,1,2,2,mendung siram
0,1,2,1,0,1,2,2,2,mendung siram
0,1,2,1,1,0,0,0,0,mendung kering
0,1,2,1,1,0,1,2,2,mendung siram
0,1,2,1,1,0,2,2,2,mendung siram
0,1,2,1,1,1,0,0,0,mendung kering
0,1,2,1,1,1,1,2,2,mendung siram
0,1,2,1,1,1,2,2,2,mendung siram
0,2,0,0,0,0,0,0,0,mendung kering
0,2,0,0,0,1,0,0,0,mendung kering
0,2,0,0,1,0,0,0,0,mendung kering
0,2,0,0,1,1,0,0,0,mendung kering
0,2,0,1,0,0,0,0,0,mendung kering
0,2,0,1,0,0,1,2,2,mendung siram
0,2,0,1,0,0,2,2,2,mendung siram
0,2,0,1,0,1,0,0,0,mendung kering
0,2,0,1,0,1,1,2,2,mendung siram
0,2,0,1,0,1,2,2,2,mendung siram
0,2,0,1,1,0,0,0,0,mendung kering
0,2,0,1,1,0,1,2,2,mendung siram
0,2,0,1,1,0,2,2,2,mendung siram
0,2,0,1,1,1,0,0,0,mendung kering
0,2,0,1,1,1,1,2,2,mendung siram
0,2,0,1,1,1,2,2,2,mendung siram
0,2,1,0,0,0,0,0,0,mendung kering
0,2,1,0,0,1,0,0,0,mendung kering
0,2,1,0,1,0,0,0,0,mendung kering
0,2,1,0,1,1,0,0,0,mendung kering
0,2,1,1,0,0,0,0,0,mendung kering
0,2,1,1,0,0,1,2,2,mendung siram
0,2,1,1,0,0,2,2,2,mendung siram
0,2,1,1,0,1,0,0,0,mendung kering
0,2,1,1,0,1,1,2,2,mendung siram
0,2,1,1,0,1,2,2,2,mendung siram
0,2,1,1,1,0,0,0,0,mendung kering
0,2,1,1,1,0,1,2,2,mendung siram
0,2,1,1,1,0,2,2,2,mendung siram
0,2,1,1,1,1,0,0,0,mendung kering
0,2,1,1,1,1,1,2,2,mendung siram
0,2,1,1,1,1,2,2,2,mendung siram
0,2,2,0,0,0,0,0,0,mendung kering
0,2,2,0,0,1,0,0,0,mendung kering
0,2,2,0,1,0,0,0,0,mendung kering
0,2,2,0,1,1,0,0,0,mendung kering
0,2,2,1,0,0,0,0,0,mendung kering
0,2,2,1,0,0,1,2,2,mendung siram
0,2,2,1,0,0,2,2,2,mendung siram
0,2,2,1,0,1,0,0,0,mendung kering
0,2,2,1,0,1,1,2,2,mendung siram
0,2,2,1,0,1,2,2,2,mendung siram
0,2,2,1,1,0,0,0,0,mendung kering
0,2,2,1,1,0,1,2,2,mendung siram
0,2,2,1,1,0,2,2,2,mendung siram
0,2,2,1,1,1,0,0,0,mendung kering
0,2,2,1,1,1,1,2,2,mendung siram
0,2,2,1,1,1,2,2,2,mendung siram
1,0,0,1,1,1,1,0,1,cerah siram
1,0,0,1,1,1,1,0,2,cerah siram
1,0,0,1,1,1,1,1,0,cerah siram
1,0,0,1,1,1,1,1,1,cerah siram
1,0,0,1,1,1,1,1,2,cerah siram
1,0,0,1,1,1,1,2,0,cerah siram
1,0,0,1,1,1,1,2,1,cerah siram
1,0,0,1,1,1,1,2,2,cerah siram
1,0,0,1,1,1,2,0,0,cerah siram
1,0,0,1,1,1,2,0,1,cerah siram
1,0,0,1,1,1,2,0,2,cerah siram
1,0,0,1,1,1,2,1,0,cerah siram
1,0,0,1,1,1,2,1,1,cerah siram
1,0,0,1,1,1,2,1,2,cerah siram
1,0,0,1,1,1,2,2,1,cerah siram
