suhu udara,kelembaban udara,suhu tanah,kelembaban tanah,cahaya,arus solar,arus aki,tegangan solar,tegangan aki,status,frequency,support
dingin,basah,dingin,kering,berawan,rendah,minimal,lemah,rendah,mendung kering,148,0.0024720227158844164
dingin,basah,dingin,kering,berawan,sedang,minimal,lemah,rendah,mendung kering,33,0.0005511942542174712
dingin,basah,dingin,kering,gelap,rendah,minimal,lemah,rendah,mendung kering,472,0.007883748120928678
dingin,basah,dingin,kering,gelap,sedang,minimal,lemah,rendah,mendung kering,130,0.0021713713044930684
dingin,basah,dingin,sedang,berawan,rendah,maksimal,tinggi,maksimal,mendung siram,109,0.0018206113245364957
dingin,basah,dingin,sedang,berawan,rendah,minimal,lemah,rendah,mendung kering,49,0.0008184399532320027
dingin,basah,dingin,sedang,berawan,rendah,sedang,tinggi,maksimal,mendung siram,85,0.0014197427760146986
dingin,basah,dingin,sedang,berawan,sedang,maksimal,tinggi,maksimal,mendung siram,24,0.00040086854852179724
dingin,basah,dingin,sedang,berawan,sedang,minimal,lemah,rendah,mendung kering,12,0.00020043427426089862
dingin,basah,dingin,sedang,berawan,sedang,sedang,tinggi,maksimal,mendung siram,31,0.0005177885418406547
dingin,basah,dingin,sedang,gelap,rendah,maksimal,tinggi,maksimal,mendung siram,337,0.00562886253549357
dingin,basah,dingin,sedang,gelap,rendah,minimal,lemah,rendah,mendung kering,154,0.0025722398530148654
dingin,basah,dingin,sedang,gelap,rendah,sedang,tinggi,maksimal,mendung siram,278,0.004643394020377485
dingin,basah,dingin,sedang,gelap,sedang,maksimal,tinggi,maksimal,mendung siram,71,0.0011859027893769834
dingin,basah,dingin,sedang,gelap,sedang,minimal,lemah,rendah,mendung kering,39,0.0006514113913479205
dingin,basah,dingin,sedang,gelap,sedang,sedang,tinggi,maksimal,mendung siram,66,0.0011023885084349423
dingin,basah,panas,kering,berawan,rendah,minimal,lemah,rendah,mendung kering,271,0.004526474027058627
dingin,basah,panas,kering,berawan,sedang,minimal,lemah,rendah,mendung kering,66,0.0011023885084349423
dingin,basah,panas,kering,gelap,rendah,minimal,lemah,rendah,mendung kering,823,0.013746450643059963
dingin,basah,panas,kering,gelap,sedang,minimal,lemah,rendah,mendung kering,207,0.003457491231000501
dingin,basah,panas,sedang,berawan,rendah,maksimal,tinggi,maksimal,mendung siram,172,0.0028728912644062133
dingin,basah,panas,sedang,berawan,rendah,minimal,lemah,rendah,mendung kering,91,0.0015199599131451478
dingin,basah,panas,sedang,berawan,rendah,sedang,tinggi,maksimal,mendung siram,203,0.003390679806246868
dingin,basah,panas,sedang,berawan,sedang,maksimal,tinggi,maksimal,mendung siram,56,0.0009353599465508602
dingin,basah,panas,sedang,berawan,sedang,minimal,lemah,rendah,mendung kering,31,0.0005177885418406547
dingin,basah,panas,sedang,berawan,sedang,sedang,tinggi,maksimal,mendung siram,51,0.0008518456656088191
dingin,basah,panas,sedang,gelap,rendah,maksimal,tinggi,maksimal,mendung siram,607,0.010138633706363788
dingin,basah,panas,sedang,gelap,rendah,minimal,lemah,rendah,mendung kering,265,0.004426256889928178
dingin,basah,panas,sedang,gelap,rendah,sedang,tinggi,maksimal,mendung siram,555,0.00927008518456656
dingin,basah,panas,sedang,gelap,sedang,maksimal,tinggi,maksimal,mendung siram,187,0.0031234341072323367
dingin,basah,panas,sedang,gelap,sedang,minimal,lemah,rendah,mendung kering,86,0.0014364456322031067
dingin,basah,panas,sedang,gelap,sedang,sedang,tinggi,maksimal,mendung siram,150,0.0025054284282612325
dingin,basah,sedang,kering,berawan,rendah,minimal,lemah,rendah,mendung kering,284,0.004743611157507934
dingin,basah,sedang,kering,berawan,sedang,minimal,lemah,rendah,mendung kering,60,0.001002171371304493
dingin,basah,sedang,kering,gelap,rendah,minimal,lemah,rendah,mendung kering,672,0.011224319358610322
dingin,basah,sedang,kering,gelap,sedang,minimal,lemah,rendah,mendung kering,198,0.003307165525304827
dingin,basah,sedang,sedang,berawan,rendah,maksimal,tinggi,maksimal,mendung siram,144,0.0024052112911307835
dingin,basah,sedang,sedang,berawan,rendah,minimal,lemah,rendah,mendung kering,94,0.0015700684817103725
dingin,basah,sedang,sedang,berawan,rendah,sedang,tinggi,maksimal,mendung siram,144,0.0024052112911307835
dingin,basah,sedang,sedang,berawan,sedang,maksimal,tinggi,maksimal,mendung siram,44,0.0007349256722899615
dingin,basah,sedang,sedang,berawan,sedang,minimal,lemah,rendah,mendung kering,20,0.00033405712376816435
dingin,basah,sedang,sedang,berawan,sedang,sedang,tinggi,maksimal,mendung siram,44,0.0007349256722899615
dingin,basah,sedang,sedang,gelap,rendah,maksimal,tinggi,maksimal,mendung siram,531,0.008869216636044763
dingin,basah,sedang,sedang,gelap,rendah,minimal,lemah,rendah,mendung kering,269,0.00449306831468181
dingin,basah,sedang,sedang,gelap,rendah,sedang,tinggi,maksimal,mendung siram,453,0.007566393853348923
dingin,basah,sedang,sedang,gelap,sedang,maksimal,tinggi,maksimal,mendung siram,158,0.002639051277768498
dingin,basah,sedang,sedang,gelap,sedang,minimal,lemah,rendah,mendung kering,66,0.0011023885084349423
dingin,basah,sedang,sedang,gelap,sedang,sedang,tinggi,maksimal,mendung siram,121,0.0020210455987973944
dingin,lembab,dingin,kering,berawan,rendah,minimal,lemah,rendah,mendung kering,173,0.0028895941205946216
dingin,lembab,dingin,kering,berawan,sedang,minimal,lemah,rendah,mendung kering,57,0.0009520628027392684
dingin,lembab,dingin,kering,gelap,rendah,minimal,lemah,rendah,mendung kering,543,0.009069650910305663
dingin,lembab,dingin,kering,gelap,sedang,minimal,lemah,rendah,mendung kering,122,0.0020377484549858028
dingin,lembab,dingin,sedang,berawan,rendah,maksimal,tinggi,maksimal,mendung siram,5,8.351428094204109e-05
dingin,lembab,dingin,sedang,berawan,rendah,minimal,lemah,rendah,mendung kering,67,0.0011190913646233506
dingin,lembab,dingin,sedang,berawan,rendah,sedang,tinggi,maksimal,mendung siram,14,0.00023383998663771506
dingin,lembab,dingin,sedang,berawan,sedang,maksimal,tinggi,maksimal,mendung siram,4,6.681142475363287e-05
dingin,lembab,dingin,sedang,berawan,sedang,minimal,lemah,rendah,mendung kering,12,0.00020043427426089862
